source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-19,40.4375,-3.6875,Europe/Madrid,35.1,22.2,28.7,0.1,0.0,0.0,9.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-20,40.4375,-3.6875,Europe/Madrid,36.8,23.7,29.9,0.0,0.0,0.0,14.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-21,40.4375,-3.6875,Europe/Madrid,38.1,23.9,30.7,0.1,0.0,0.0,16.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-22,40.4375,-3.6875,Europe/Madrid,38.6,24.1,31.3,0.0,0.0,0.0,13.7
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-23,40.4375,-3.6875,Europe/Madrid,38.9,23.7,31.6,0.0,0.0,0.0,10.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-24,40.4375,-3.6875,Europe/Madrid,38.3,24.4,31.5,0.0,0.0,0.0,14.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-25,40.4375,-3.6875,Europe/Madrid,31.2,23.2,27.3,0.0,0.0,0.0,15.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-26,40.4375,-3.6875,Europe/Madrid,31.8,20.9,26.5,0.0,0.0,0.0,8.2
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-27,40.4375,-3.6875,Europe/Madrid,34.4,21.9,28.6,0.0,0.0,0.0,9.5
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-28,40.4375,-3.6875,Europe/Madrid,33.7,22.4,27.6,0.8,0.0,0.0,18.6
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-29,40.4375,-3.6875,Europe/Madrid,33.9,18.9,26.5,0.0,0.0,0.0,15.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-30,40.4375,-3.6875,Europe/Madrid,36.0,22.0,29.3,0.0,0.0,0.0,9.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-07-01,40.4375,-3.6875,Europe/Madrid,36.2,22.3,29.2,0.0,0.0,0.0,17.3
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-03-31,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-01,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-02,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-03,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-04,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-05,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-06,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-07,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-08,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-09,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-10,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-11,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-12,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-13,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-14,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-15,41.375,2.125,Europe/Madrid,,,,,,,
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-16,41.375,2.125,Europe/Madrid,20.2,10.4,,,,,17.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-17,41.375,2.125,Europe/Madrid,20.5,10.6,15.8,0.0,0.0,0.0,10.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-18,41.375,2.125,Europe/Madrid,22.5,11.1,17.1,0.0,0.0,0.0,9.3
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-19,41.375,2.125,Europe/Madrid,22.5,11.9,17.5,0.0,0.0,0.0,14.5
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-20,41.375,2.125,Europe/Madrid,22.4,13.6,18.2,0.0,0.0,0.0,13.4
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-21,41.375,2.125,Europe/Madrid,21.3,12.5,17.2,0.0,0.0,0.0,11.1
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-22,41.375,2.125,Europe/Madrid,20.7,11.5,16.7,0.0,0.0,0.0,19.4
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-23,41.375,2.125,Europe/Madrid,19.6,14.4,16.7,0.0,0.0,0.0,23.5
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-24,41.375,2.125,Europe/Madrid,18.2,10.4,15.2,0.0,0.0,0.0,13.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-25,41.375,2.125,Europe/Madrid,19.8,10.4,15.7,0.0,0.0,0.0,12.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-26,41.375,2.125,Europe/Madrid,22.0,12.5,17.7,0.0,0.0,0.0,12.0
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-27,41.375,2.125,Europe/Madrid,21.9,14.9,18.5,0.0,0.0,0.0,12.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-28,41.375,2.125,Europe/Madrid,21.6,12.6,17.4,0.0,0.0,0.0,12.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-29,41.375,2.125,Europe/Madrid,21.1,16.1,18.0,0.0,0.0,0.0,18.5
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-04-30,41.375,2.125,Europe/Madrid,21.4,13.8,18.0,0.2,0.0,0.0,16.7
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-01,41.375,2.125,Europe/Madrid,21.6,16.4,18.2,0.2,0.0,0.0,24.0
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-02,41.375,2.125,Europe/Madrid,19.8,15.3,17.3,2.4,0.0,0.0,12.8
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-03,41.375,2.125,Europe/Madrid,19.0,14.1,16.7,2.0,0.4,0.0,14.0
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-04,41.375,2.125,Europe/Madrid,21.0,15.6,17.5,4.1,0.1,0.0,15.0
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-05,41.375,2.125,Europe/Madrid,21.2,12.4,16.7,3.2,0.0,0.0,12.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-06,41.375,2.125,Europe/Madrid,19.5,12.2,16.2,0.0,0.0,0.0,12.8
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-07,41.375,2.125,Europe/Madrid,18.9,12.3,15.9,0.1,0.0,0.0,13.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-08,41.375,2.125,Europe/Madrid,18.7,12.3,16.1,0.0,0.0,0.0,11.5
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-09,41.375,2.125,Europe/Madrid,18.3,15.1,16.2,12.3,11.2,0.0,18.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-10,41.375,2.125,Europe/Madrid,21.7,13.3,17.5,0.1,0.0,0.0,19.4
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-11,41.375,2.125,Europe/Madrid,23.1,15.0,19.0,0.0,0.0,0.0,18.9
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-12,41.375,2.125,Europe/Madrid,21.4,14.3,17.8,5.8,0.0,0.0,15.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-13,41.375,2.125,Europe/Madrid,20.2,14.5,16.9,6.0,0.0,0.0,11.3
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-14,41.375,2.125,Europe/Madrid,23.1,13.7,17.9,0.0,0.0,0.0,22.8
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-15,41.375,2.125,Europe/Madrid,17.4,12.7,14.5,4.6,0.4,0.0,13.3
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-16,41.375,2.125,Europe/Madrid,18.5,10.9,14.7,0.0,0.0,0.0,12.9
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-17,41.375,2.125,Europe/Madrid,18.9,13.6,16.6,0.0,0.0,0.0,10.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-18,41.375,2.125,Europe/Madrid,19.5,13.1,16.5,3.1,0.0,0.0,11.6
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-19,41.375,2.125,Europe/Madrid,21.7,15.0,18.4,0.0,0.0,0.0,13.3
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-20,41.375,2.125,Europe/Madrid,23.0,15.6,19.7,0.0,0.0,0.0,13.2
recent_weather,2026-07-01T14:51:26+00:00,3128760,Barcelona,ES,2026-05-21,41.375,2.125,Europe/Madrid,24.6,16.4,20.7,0.0,0.0,0.0,11.6
